
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016580                       # Number of seconds simulated (Second)
simTicks                                  16579625000                       # Number of ticks simulated (Tick)
finalTick                                 16579625000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     33.91                       # Real time elapsed on the host (Second)
hostTickRate                                488948223                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     678032                       # Number of bytes of host memory used (Byte)
simInsts                                     17930262                       # Number of instructions simulated (Count)
simOps                                       34804125                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   528777                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1026400                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         16579626                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.924673                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.081464                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35099884                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      126                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35072300                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    495                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               295879                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            276915                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  72                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16547407                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.119504                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.383305                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7255760     43.85%     43.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1266319      7.65%     51.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1630907      9.86%     61.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1866370     11.28%     72.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1213734      7.33%     79.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    937819      5.67%     85.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1471741      8.89%     94.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    667476      4.03%     98.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    237281      1.43%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16547407                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  261163     30.97%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     30.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     16      0.00%     30.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     30.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                 331578     39.32%     70.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                249462     29.59%     99.89% # attempts to use FU when none available (Count)
