
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027550                       # Number of seconds simulated (Second)
simTicks                                  27550066000                       # Number of ticks simulated (Tick)
finalTick                                 27550066000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     99.16                       # Real time elapsed on the host (Second)
hostTickRate                                277822655                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     697652                       # Number of bytes of host memory used (Byte)
simInsts                                     35860524                       # Number of instructions simulated (Count)
simOps                                       69608250                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   361627                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     701949                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         27550067                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.768256                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.301649                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        86975262                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      202                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       81983351                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 265762                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             17367208                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          17535258                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  94                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27529007                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.978071                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.797946                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8612010     31.28%     31.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2298018      8.35%     39.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3197124     11.61%     51.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2919459     10.61%     61.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1792337      6.51%     68.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2014765      7.32%     75.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2424214      8.81%     84.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1424389      5.17%     89.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2846691     10.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27529007                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1808007     57.93%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     57.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  75229      2.41%     60.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     60.34% # attempts to use FU when none available (Count)
